saleid|itemid|customerid|storeid|time|qty|pricerange
70|72|84|54|67|45|2
729|84|119|17|67|48|1
497|129|59|63|67|18|0
26|109|130|51|99|22|1
61|119|125|55|11|2|1
564|84|196|6|69|25|1
255|122|24|7|67|49|1
49|162|59|25|67|22|3
670|99|2|36|95|25|3
888|126|2|87|80|19|3
602|99|59|16|95|27|1
356|89|47|95|67|37|1
344|129|177|70|67|40|1
319|136|2|56|46|21|1
966|97|2|86|67|45|1
713|9|168|34|67|14|1
332|117|140|98|67|1|1
652|113|2|80|39|35|1
220|114|112|31|22|44|3
672|101|59|46|67|4|0
523|93|2|10|3|9|0
163|90|2|25|7|24|1
443|103|78|64|67|49|1
285|92|59|9|67|18|1
484|107|66|96|67|33|2
825|112|59|10|67|24|1
90|84|51|27|43|8|1
253|106|126|13|67|39|1
988|129|196|72|67|22|1
667|133|39|30|67|26|1
181|114|2|48|67|49|1
840|85|2|31|44|23|4
147|81|2|4|92|11|1
566|113|20|49|67|41|1
67|67|69|25|61|31|1
627|93|2|15|67|44|2
58|70|2|64|67|1|1
56|74|2|77|67|40|1
916|75|59|65|100|11|1
316|95|2|88|67|12|1
797|69|185|21|67|23|1
213|120|20|90|67|5|3
422|86|161|36|67|26|3
851|85|156|37|70|19|1
421|103|2|7|22|36|2
976|114|2|44|51|3|1
802|102|86|34|51|50|1
103|98|59|15|61|40|1
474|133|59|42|67|7|1
520|95|23|70|67|19|0
427|78|2|43|67|5|1
107|119|2|18|67|1|2
5|93|59|11|67|12|1
241|99|102|37|67|50|2
593|189|59|15|31|47|1
821|107|2|51|67|39|0
591|103|43|62|48|35|3
714|107|159|74|100|9|1
74|64|166|47|54|1|1
134|81|56|42|53|49|1
21|137|195|74|37|13|1
700|68|2|37|92|23|1
215|88|57|68|67|49|1
788|190|48|5|22|12|1
805|110|59|51|67|48|1
686|86|156|37|70|49|1
371|62|33|23|67|7|1
442|110|51|20|67|49|1
835|117|197|50|67|33|2
254|90|130|7|48|46|1
815|149|184|92|67|23|2
766|69|59|14|67|35|1
960|91|121|100|3|9|1
668|132|2|98|48|47|1
609|90|166|72|67|21|2
340|72|190|59|67|23|0
75|99|2|90|28|1|3
360|90|185|72|67|6|1
540|77|2|26|61|47|1
957|124|141|53|67|38|1
192|83|59|38|46|14|3
4|121|2|52|67|6|1
849|91|21|43|61|48|1
238|166|2|56|67|48|1
904|94|2|72|49|1|1
736|92|59|64|67|37|1
33|112|59|99|67|30|1
762|106|2|30|67|25|1
17|90|102|4|28|40|1
366|63|38|52|92|23|2
267|98|17|47|67|38|1
886|84|2|58|67|24|1
47|192|66|82|67|32|3
20|78|130|2|67|30|1
863|85|25|19|46|10|3
597|108|59|53|67|23|1
949|135|168|55|80|17|1
721|130|2|74|67|5|1
709|120|25|23|12|45|2
35|126|175|32|67|10|0
860|81|47|36|61|15|2
362|87|40|39|49|22|4
799|89|80|88|77|48|1
575|106|2|9|67|21|1
337|72|102|6|1|40|1
704|63|59|86|49|47|1
471|127|2|85|67|21|1
979|50|168|6|49|31|1
792|97|126|82|31|40|0
516|109|75|59|83|33|1
551|107|79|11|76|47|1
777|85|131|20|67|45|3
376|115|2|35|51|28|1
501|99|2|62|67|2|1
632|93|197|5|67|10|1
438|110|2|48|61|10|1
715|133|2|52|61|9|1
413|92|82|96|99|15|3
214|137|2|4|43|45|1
470|74|2|65|54|45|1
166|70|2|76|67|38|3
749|77|163|48|3|41|1
414|105|2|87|53|33|1
276|120|59|46|67|4|1
78|105|2|5|90|47|3
243|137|180|83|91|27|1
965|88|5|7|71|39|2
937|119|57|37|58|49|1
481|87|2|21|67|26|1
770|83|23|86|67|22|1
3|135|2|51|46|37|3
928|104|1|73|67|10|1
245|86|96|25|5|50|1
390|117|110|69|51|15|1
121|111|2|89|61|13|1
429|83|79|81|67|3|4
525|82|166|23|51|16|1
760|110|2|20|32|28|1
493|78|104|32|46|10|1
22|74|2|8|67|35|1
116|129|200|5|66|6|1
23|77|2|14|67|12|1
114|82|102|63|67|19|0
308|111|59|96|67|25|1
752|90|92|62|67|29|0
19|61|47|97|67|47|1
634|121|2|48|32|1|4
439|128|15|52|67|14|1
926|98|2|19|27|39|2
411|102|59|55|46|3|0
648|82|5|3|67|47|1
298|136|2|58|67|41|3
288|46|2|95|67|26|1
169|133|59|76|54|29|1
600|112|36|66|93|31|1
231|68|2|88|67|5|3
561|76|102|98|82|16|1
478|140|2|72|52|35|1
619|123|46|38|49|38|3
626|145|131|59|67|24|1
678|65|107|73|37|49|1
402|116|59|47|57|33|1
806|83|185|49|98|50|2
684|95|22|24|41|28|0
961|84|139|29|67|40|1
622|111|25|60|61|15|1
330|103|130|94|69|11|1
507|118|25|54|46|27|1
164|86|50|65|67|35|1
650|92|195|91|84|15|3
178|94|2|23|22|49|1
971|119|2|96|49|33|1
862|122|59|66|67|29|1
764|86|2|41|24|8|1
252|137|180|33|67|38|1
952|136|59|41|30|7|1
739|70|2|11|67|47|1
559|11|2|88|67|3|2
896|77|130|85|67|35|1
637|68|195|84|67|37|1
853|65|102|72|67|31|2
314|84|2|95|64|41|1
173|100|2|43|8|20|1
768|61|59|4|16|36|1
374|106|65|41|46|1|1
956|113|2|37|67|36|4
45|133|2|63|49|23|1
365|121|2|34|49|3|1
923|94|200|13|98|7|1
157|102|2|56|67|44|0
589|115|130|10|67|42|1
737|140|2|18|7|45|1
503|95|2|11|54|26|1
651|105|159|80|92|27|1
100|127|47|28|67|36|1
320|70|196|70|13|18|1
38|97|2|33|67|2|0
323|66|107|15|62|5|1
398|82|2|41|3|27|1
864|119|12|38|67|49|1
577|82|2|61|67|49|1
640|89|2|11|67|7|4
978|83|174|19|65|45|1
269|70|59|27|67|11|3
462|85|130|98|89|38|1
261|107|25|70|67|10|1
40|83|2|100|2|2|3
92|124|2|36|22|16|3
612|115|2|64|69|46|0
866|117|39|2|67|8|1
859|96|170|62|67|17|1
117|134|50|23|67|41|1
531|110|2|53|9|23|3
663|100|59|12|61|16|1
125|114|59|59|67|12|1
831|122|140|23|67|50|0
625|116|25|58|68|29|3
44|109|72|44|67|26|1
833|91|2|93|67|32|1
865|72|8|45|30|37|1
190|98|161|42|67|47|1
236|136|51|54|67|19|1
271|8|47|14|46|30|4
910|115|2|1|49|29|1
283|108|102|76|67|2|1
392|106|144|61|13|26|1
165|124|138|64|39|22|1
901|117|1|30|85|19|0
995|93|125|35|51|5|1
963|70|2|96|67|7|1
549|139|2|34|67|11|0
416|105|24|43|67|28|1
183|95|162|82|67|36|1
775|113|2|95|67|49|1
733|98|56|9|67|45|0
232|119|2|94|60|21|4
327|117|122|4|67|7|1
987|86|154|19|61|6|1
175|76|51|37|31|7|1
878|108|2|9|67|37|1
234|85|59|77|40|46|4
368|61|2|25|67|21|0
839|105|2|24|65|20|3
407|114|59|100|67|5|1
874|112|2|16|67|14|1
539|122|51|32|67|26|0
68|116|185|73|67|46|1
861|84|59|93|90|13|1
317|110|2|13|67|44|4
96|104|107|69|67|14|1
409|110|2|38|97|29|1
12|115|2|44|11|14|3
95|117|2|67|79|17|3
846|121|2|14|67|11|1
511|130|2|90|67|26|1
196|89|2|2|67|3|1
406|96|2|3|49|13|1
791|92|59|58|78|43|1
281|75|2|58|96|32|1
418|156|2|71|8|44|2
170|88|121|57|67|1|1
548|113|153|88|3|34|1
550|76|36|50|38|48|3
992|83|2|60|67|45|3
480|107|2|85|67|45|3
315|92|21|23|61|31|3
596|113|2|61|66|10|2
913|103|2|87|67|27|4
543|93|59|42|67|12|4
495|101|59|65|67|31|1
610|121|2|32|67|8|1
696|134|2|65|48|5|2
826|121|2|55|67|15|1
818|103|140|14|70|24|2
109|118|47|62|2|32|1
30|110|174|14|67|25|1
674|117|2|55|54|28|1
11|85|59|74|67|31|2
773|116|2|90|67|45|1
842|118|2|69|67|2|1
62|131|25|68|63|40|1
607|150|48|91|46|8|2
412|38|2|32|69|44|4
514|95|2|47|67|8|1
918|135|2|20|67|43|1
707|56|102|51|67|23|1
186|91|59|50|67|18|1
48|91|2|44|67|48|1
814|101|2|45|49|41|1
726|96|2|34|67|42|1
297|112|42|26|67|25|0
313|117|2|100|67|14|2
579|104|185|8|22|37|1
824|115|182|24|84|41|4
664|83|2|19|63|7|1
176|171|25|32|67|8|3
419|65|2|32|67|16|1
54|119|2|74|67|47|2
941|98|9|2|67|46|0
88|96|59|41|67|25|3
77|123|2|87|17|8|4
94|83|165|73|67|17|1
505|131|130|24|67|1|1
959|81|2|49|3|36|1
347|125|159|79|67|2|1
533|108|59|78|67|44|1
167|86|47|7|66|37|1
567|95|2|75|67|21|4
351|103|2|41|52|7|2
646|117|2|10|67|1|1
260|88|25|68|49|48|3
10|98|102|93|46|15|1
338|97|199|96|80|46|1
677|128|2|59|67|48|2
219|85|2|15|63|16|1
780|177|178|98|67|27|1
968|103|59|40|61|21|1
401|96|191|28|77|35|0
423|107|5|72|67|13|1
141|93|2|1|76|18|1
15|89|23|39|67|31|1
394|128|70|38|67|46|3
60|69|24|23|31|18|1
437|119|2|9|43|31|4
838|99|2|53|61|35|0
224|134|182|31|9|8|1
455|80|2|24|61|9|3
84|77|54|73|90|41|3
974|131|166|71|46|37|2
46|107|2|33|6|3|4
391|98|2|84|69|23|3
53|116|2|28|94|42|1
513|133|167|21|61|40|1
914|84|2|71|46|47|4
465|83|2|88|46|23|1
757|88|51|3|67|1|2
279|99|2|63|67|24|1
897|113|59|74|60|46|1
869|131|2|32|68|43|1
87|110|59|18|85|6|1
52|113|47|65|61|31|1
527|79|2|59|49|24|1
257|97|2|91|48|42|1
498|115|51|14|49|32|3
86|71|154|1|67|22|0
703|82|2|64|67|33|4
855|132|140|24|67|3|4
499|95|2|82|67|7|3
718|120|2|98|55|40|1
250|135|2|73|87|31|1
635|103|25|40|61|12|1
293|134|105|69|67|29|1
278|101|2|30|67|9|1
126|118|2|6|61|34|1
725|90|186|52|67|34|3
130|70|2|72|69|48|2
638|108|156|45|46|27|2
578|97|117|89|67|37|0
989|99|2|81|61|50|1
925|107|2|94|63|43|1
201|94|2|68|67|48|1
665|135|102|25|46|26|4
786|119|2|94|67|28|2
980|93|8|32|29|21|0
207|114|2|78|41|42|4
828|108|2|92|73|13|0
265|101|1|4|67|35|0
617|103|51|56|67|8|1
754|106|166|100|67|16|0
875|83|59|56|59|20|1
179|122|146|65|67|5|3
341|129|59|49|67|23|0
883|83|74|24|67|14|0
830|116|63|49|67|45|1
66|113|47|16|17|47|1
296|115|74|75|49|10|1
884|103|81|22|53|6|1
529|103|133|28|69|4|2
586|133|57|82|80|35|1
720|48|47|61|67|26|1
562|89|21|15|78|3|1
449|100|59|66|54|48|4
479|112|2|67|67|50|2
468|110|102|75|69|13|3
990|116|57|48|46|42|1
798|143|155|81|46|31|1
39|98|22|84|100|45|4
867|94|150|26|67|9|0
389|127|2|92|67|18|0
546|193|130|16|84|14|4
191|96|59|63|49|8|1
601|106|47|21|67|48|2
958|67|2|16|22|6|2
41|111|2|6|67|48|1
741|120|51|60|67|24|1
977|111|2|31|48|12|1
434|73|59|10|67|8|2
115|88|59|33|67|21|4
343|102|59|95|67|27|1
537|114|2|51|67|8|1
608|74|174|41|55|43|2
73|129|2|99|80|20|1
581|133|200|18|49|16|2
676|110|167|13|67|41|1
927|118|2|88|67|20|1
680|85|2|81|54|48|1
649|74|2|12|67|17|1
877|81|161|52|26|16|0
333|95|189|43|67|24|1
379|84|8|7|67|28|1
666|107|59|14|93|47|1
728|160|185|69|3|46|0
444|136|2|42|3|44|4
948|81|25|78|67|30|3
922|124|74|79|96|48|1
111|118|56|89|79|4|1
326|91|2|95|67|5|1
587|116|105|55|22|24|3
208|90|2|41|22|43|1
136|80|2|61|67|42|1
221|79|2|92|100|25|1
85|112|166|53|67|41|2
102|80|85|78|67|21|1
962|101|2|54|67|14|2
902|116|2|65|67|6|1
277|88|2|67|63|17|1
857|86|2|46|67|1|1
573|101|169|86|69|26|3
836|102|2|93|49|31|4
143|110|2|1|67|33|4
1|117|71|24|67|6|1
475|64|2|60|49|25|1
598|81|59|44|67|11|1
476|86|2|11|67|14|1
953|92|186|64|49|40|1
528|69|2|26|55|24|1
334|102|76|78|49|43|1
621|102|2|70|61|44|4
132|97|2|97|48|5|1
361|88|141|92|67|13|3
291|105|102|97|71|32|2
168|125|183|69|49|38|1
274|105|43|54|67|2|4
405|122|76|26|80|37|1
459|129|117|42|87|28|1
359|116|2|47|30|38|1
348|95|2|77|67|2|1
123|95|19|87|67|49|1
381|66|185|9|67|11|1
789|86|2|92|67|25|1
727|114|2|49|27|18|1
372|104|21|63|67|40|1
335|108|47|79|67|26|1
400|88|2|9|46|33|1
318|87|161|27|67|17|1
287|66|146|8|51|22|4
447|106|2|48|67|45|1
235|100|161|82|67|22|1
812|111|2|13|67|29|1
388|108|116|8|67|27|1
275|102|2|29|67|32|1
485|99|2|67|67|2|1
998|81|85|91|51|14|2
155|106|25|70|67|10|1
386|115|2|64|46|22|1
311|109|130|52|67|34|3
397|108|2|65|67|32|4
489|114|2|72|67|38|1
615|34|179|45|84|15|1
509|134|183|69|49|11|1
504|95|59|93|67|34|1
101|105|2|9|74|28|3
93|77|167|31|58|31|0
794|137|2|76|67|27|1
981|101|59|54|67|48|2
2|116|2|21|67|36|1
724|116|130|92|14|22|3
395|180|146|59|99|6|1
823|87|59|82|54|15|1
947|102|26|44|30|1|1
892|125|25|15|67|5|0
403|81|75|28|67|37|1
441|139|10|7|67|22|1
912|108|2|16|66|12|2
924|115|102|95|67|12|3
679|103|2|33|67|21|1
294|105|2|12|67|36|0
212|103|2|39|67|49|1
364|107|21|10|67|37|1
767|109|42|57|37|17|2
748|102|29|17|67|13|0
776|121|2|19|67|17|3
144|119|59|67|18|23|1
110|87|2|12|67|50|2
336|132|185|96|67|41|1
898|107|161|11|59|32|3
734|102|2|97|67|44|3
661|116|25|74|67|35|1
71|73|2|95|24|22|1
494|97|2|20|67|9|4
159|91|162|79|67|37|1
500|94|2|29|67|40|4
781|108|200|50|67|44|1
420|120|130|70|67|2|3
149|103|2|23|67|2|4
300|164|162|68|46|49|4
705|123|2|1|49|2|3
950|98|2|7|67|29|1
242|126|2|44|8|3|1
510|87|47|38|89|4|4
205|119|155|26|88|1|1
756|93|33|91|67|42|1
800|67|2|84|67|1|1
837|109|189|38|67|8|1
856|81|2|25|67|10|3
844|133|74|32|67|32|0
975|7|167|19|63|9|1
436|96|2|18|67|3|1
367|85|2|71|46|8|4
722|125|103|80|42|16|1
730|67|51|24|67|13|1
171|115|2|80|67|18|1
641|111|2|10|67|34|1
42|98|2|32|67|30|1
740|96|73|95|67|8|1
483|31|2|24|59|17|1
197|97|81|13|67|40|4
811|119|59|36|67|25|4
592|116|2|86|67|43|1
983|88|106|21|67|50|0
380|130|157|52|50|24|1
148|81|77|96|6|4|1
599|67|2|75|67|27|1
464|83|2|15|67|10|4
280|85|127|75|67|43|1
746|136|2|61|57|7|4
698|121|185|62|5|8|2
653|63|60|19|31|39|1
669|124|2|24|46|34|1
986|113|59|19|3|28|1
735|84|65|89|67|1|1
249|114|2|21|67|26|1
742|79|2|7|87|29|3
428|114|51|29|42|15|1
76|70|2|77|67|41|3
660|81|74|60|4|46|4
967|99|2|54|40|46|1
124|84|2|92|67|10|1
787|69|142|2|67|14|4
755|100|174|89|85|37|1
139|115|97|34|67|17|3
810|96|149|88|67|31|1
994|88|59|32|67|23|1
681|82|59|21|67|27|1
301|88|2|2|67|24|1
433|105|2|100|67|6|0
595|111|2|33|67|16|1
194|99|130|29|67|4|1
606|90|2|8|67|15|2
79|107|170|69|49|13|1
535|141|97|33|38|42|1
919|86|59|21|67|7|1
552|122|2|88|67|21|1
580|65|2|91|48|34|1
408|88|69|23|67|29|3
18|62|76|8|61|38|4
879|96|2|79|13|43|1
290|84|74|30|67|41|2
907|87|2|79|67|47|3
82|89|2|98|3|44|1
758|62|59|99|67|35|1
744|95|118|58|67|4|2
743|89|102|81|37|50|1
716|92|56|72|91|39|1
99|114|52|31|67|40|1
69|73|2|60|67|34|1
322|98|2|26|67|47|3
448|4|2|39|67|22|1
819|95|25|1|7|1|1
695|119|2|13|67|18|2
307|130|25|37|76|16|1
119|95|51|76|67|8|3
27|118|2|25|1|46|1
751|83|25|82|96|27|1
557|94|2|84|67|10|4
816|108|2|34|83|18|3
13|86|2|35|67|7|1
943|30|198|12|67|20|1
808|74|25|2|61|34|1
258|108|2|66|67|33|1
785|113|25|82|29|35|2
302|102|2|24|67|16|3
195|83|80|41|67|15|1
354|110|88|9|64|5|1
440|136|2|72|67|23|3
955|124|2|54|82|36|3
582|172|56|66|80|42|1
198|107|42|58|67|33|4
903|108|155|89|99|12|1
779|113|191|21|84|21|0
34|118|2|97|67|38|2
431|65|181|84|3|12|0
691|118|2|5|67|19|1
140|86|2|63|49|27|1
565|85|195|30|67|2|1
180|95|2|56|67|15|1
795|107|2|84|67|18|1
850|110|130|50|67|21|1
6|117|2|92|45|30|1
63|86|2|18|100|11|1
211|94|138|53|87|26|1
719|91|2|20|67|43|1
156|63|59|88|46|36|1
613|95|185|57|67|16|1
763|137|2|5|46|26|1
29|121|47|71|67|30|3
91|98|2|19|67|9|1
731|91|57|17|46|41|1
482|139|174|40|87|24|1
310|131|2|88|30|32|1
304|106|195|97|67|49|2
644|95|22|73|67|43|1
373|93|130|7|87|16|1
342|143|130|97|49|28|1
377|105|145|78|8|33|1
895|114|2|25|80|29|1
262|97|2|30|3|3|1
43|116|179|54|87|5|1
881|126|50|89|92|12|1
827|117|56|96|67|16|1
324|108|2|79|67|31|1
1000|66|2|41|67|25|1
512|118|2|83|46|2|4
906|93|130|28|99|20|0
202|87|2|22|67|30|1
530|110|182|33|67|11|0
900|117|2|79|95|37|1
809|74|2|86|67|47|3
135|115|25|51|69|20|3
774|109|4|61|67|24|1
488|93|17|75|67|37|4
150|61|185|24|67|40|1
524|117|130|39|67|46|3
9|77|59|40|67|20|1
917|104|2|58|71|39|1
643|138|121|87|67|19|1
882|90|21|100|67|32|1
89|95|2|26|49|3|1
172|63|182|87|34|39|4
706|114|5|5|67|19|1
954|120|47|76|67|39|4
993|133|2|76|67|44|1
712|75|2|95|14|46|2
138|98|59|3|51|2|1
289|16|2|95|92|2|4
445|81|175|51|61|25|1
432|108|2|72|67|40|0
145|105|159|6|67|40|0
118|113|2|58|67|24|2
248|83|2|9|23|37|1
848|119|93|12|61|3|3
65|99|2|7|67|33|3
938|62|2|74|67|35|2
522|94|2|88|55|14|3
629|134|59|13|98|43|4
216|117|59|73|49|43|3
771|90|156|38|67|19|3
185|76|2|18|36|49|0
328|107|2|42|66|20|2
127|138|2|68|67|13|1
858|81|6|22|76|41|3
841|132|51|57|66|49|1
697|91|2|24|67|41|1
31|94|126|78|67|50|1
654|78|2|81|6|32|4
574|133|197|46|67|28|1
854|89|2|73|62|33|1
876|91|80|40|67|50|2
508|119|59|56|67|25|1
671|100|130|38|67|33|4
662|112|16|27|67|1|1
985|105|2|5|69|22|0
701|119|2|72|87|13|0
964|72|2|25|67|5|3
723|139|102|90|67|25|1
112|92|185|1|30|33|1
177|99|59|14|3|15|1
636|87|130|33|49|40|2
491|81|2|21|61|25|1
753|117|22|50|87|1|1
538|100|85|31|53|36|1
375|105|185|37|46|22|1
461|99|59|3|67|4|3
378|116|2|93|12|7|4
266|127|152|61|92|16|0
162|68|155|43|67|45|3
64|71|194|20|49|12|1
233|82|2|46|42|30|1
946|126|2|44|61|47|1
104|73|2|84|67|38|1
544|95|2|3|67|18|3
908|72|187|38|67|11|1
239|110|118|82|30|21|1
659|92|59|65|67|45|1
490|129|119|95|67|38|1
57|95|25|1|78|24|1
940|62|2|90|67|39|1
457|107|2|10|67|7|0
106|61|2|2|67|49|1
435|105|161|92|67|43|3
153|81|2|83|67|46|2
772|92|59|63|67|14|1
396|81|2|49|67|49|1
273|108|2|10|67|19|0
329|110|174|37|67|7|1
999|140|2|96|91|27|1
133|136|110|83|67|39|0
616|64|2|7|67|43|2
717|120|60|33|67|15|1
532|121|2|30|67|19|1
268|90|42|16|11|14|3
880|120|2|88|53|8|0
872|115|2|91|67|6|1
240|88|59|96|67|25|1
807|105|9|99|98|1|1
656|104|2|36|67|32|1
456|118|2|53|67|35|0
932|135|2|66|67|23|1
813|96|53|83|84|35|2
487|67|184|2|6|14|1
921|105|66|79|67|5|3
270|80|2|73|59|37|1
673|98|130|13|67|28|3
688|67|2|23|67|48|1
282|89|2|57|50|5|0
572|92|59|91|63|31|4
689|92|61|75|84|20|0
425|90|23|96|88|1|1
761|108|2|19|41|2|1
526|110|2|23|67|31|1
105|117|40|49|12|30|0
738|108|59|84|61|27|1
188|113|25|97|13|16|1
460|130|2|24|53|14|1
129|82|183|78|67|12|1
934|77|2|75|30|41|1
930|132|2|62|67|28|3
97|111|2|91|67|38|1
585|111|39|32|80|18|0
292|96|123|79|69|16|2
158|108|191|46|61|3|1
383|86|1|77|67|9|0
973|90|2|77|67|25|1
693|96|2|49|46|31|1
467|110|168|83|61|36|1
16|68|2|28|67|27|1
614|74|76|100|67|50|0
131|101|2|5|67|31|1
355|88|184|20|67|6|4
473|194|100|91|67|1|1
299|109|2|65|67|43|1
683|110|59|23|67|24|1
399|69|12|65|49|41|1
555|131|2|34|67|45|3
702|73|85|42|67|33|0
506|101|59|10|67|28|1
868|124|2|45|67|15|1
894|124|179|63|67|47|1
259|98|51|50|49|37|1
182|76|2|3|67|47|0
547|80|24|92|67|4|1
357|115|2|2|84|15|0
80|106|59|23|22|2|2
942|104|2|72|67|17|2
453|91|135|84|80|34|1
303|126|42|45|67|40|3
571|107|54|57|67|4|4
217|99|59|68|89|36|1
50|85|2|100|67|18|1
387|104|59|21|21|20|3
890|102|2|50|67|3|1
384|45|169|28|67|33|3
247|65|2|75|46|29|3
284|119|193|65|100|47|1
8|99|187|85|67|18|1
935|91|103|5|67|50|3
466|89|2|25|61|44|1
7|85|2|83|67|13|1
687|105|166|2|67|16|3
184|114|2|98|8|12|2
331|32|2|40|56|5|4
272|101|59|25|61|25|1
210|80|51|36|67|4|1
339|135|2|76|67|13|4
887|120|2|62|67|29|1
174|90|185|43|67|49|1
534|119|161|25|87|32|1
404|80|70|77|63|20|1
246|97|2|47|61|50|1
594|98|178|93|67|45|2
451|123|158|60|67|12|1
426|120|59|52|67|27|1
237|132|2|29|49|17|1
486|104|18|51|67|5|3
563|110|2|99|49|21|2
83|82|2|72|1|32|1
782|137|128|94|67|37|1
353|111|59|15|98|23|1
711|135|2|97|89|41|1
518|98|185|79|53|36|1
51|123|5|9|61|33|3
554|71|59|86|67|26|0
72|102|2|77|61|20|1
264|90|2|19|15|29|3
991|12|124|73|80|13|1
793|138|97|72|55|11|1
889|77|2|44|67|16|2
160|65|2|60|12|5|1
306|127|110|15|67|50|3
694|100|199|37|67|19|1
200|120|167|45|46|34|3
454|74|111|47|25|33|3
631|43|2|90|100|7|2
430|100|2|64|92|6|1
604|91|59|96|54|30|1
657|116|2|41|67|38|3
502|92|185|31|67|40|1
708|168|2|3|22|33|1
611|68|163|85|67|14|1
59|113|5|43|67|3|4
690|95|2|76|67|41|1
658|75|2|89|46|43|1
623|110|77|3|67|10|4
463|97|59|78|67|31|2
997|89|2|100|88|37|1
209|97|2|86|67|39|1
588|118|119|79|46|15|2
519|116|2|63|55|19|1
832|107|185|60|6|8|1
915|97|110|18|67|8|1
899|57|118|70|100|30|1
645|108|2|13|67|14|1
630|94|51|29|61|29|1
603|90|95|59|49|37|1
972|107|21|14|27|5|1
647|117|130|66|71|8|1
225|98|2|55|67|1|1
385|106|195|22|46|13|1
783|86|180|29|67|46|1
790|73|24|71|67|40|3
122|119|59|19|42|22|3
206|102|161|60|61|37|3
